other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
53de9e5751914a7caaf3af82147fa8c6,,shelton,CT,Restaurants and Other Eating Places,Full-Service Restaurants
942c600ec0b8348d8678c1238c78c9d9,,trumbull,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
0aa3d786aaf54ac6bc316ecd7d059e23,,granby,MA,Other Amusement and Recreation Industries,Golf Courses and Country Clubs
9467d9673b07479b8a9a4fe56e54956a,,ludlow,MA,Gasoline Stations,Gasoline Stations with Convenience Stores
c44d5d56d59847e0a3e4081554c5f651,,ludlow,MA,Automotive Repair and Maintenance,Car Washes
e8ec596f2332306e8eafaece0b8f4f5b,,brookfield,CT,Other Miscellaneous Manufacturing,
0cd69a914e1b45adacc324b8999bb1f1,,windham,CT,Religious Organizations,Religious Organizations
debf87a84dbb3e029022cae85868cc8b,,vernon,CT,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors"
2c812eb84070330a9b792a515db1109c,,New Haven,ct,Restaurants and Other Eating Places,Full-Service Restaurants
9619653c1b3a468fb0b2490e32e938a6,,new haven,CT,Restaurants and Other Eating Places,Full-Service Restaurants
8f6068c0ef5d3183989318f7c55392ff,,mystic,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
a23a8ccd5cc9426c909fa8f102313988,,middlefield,CT,Restaurants and Other Eating Places,Full-Service Restaurants
8677adfe67e53d76be24d59c86189d62,,marlborough,CT,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
df103c5f8d1e48ee8aaaa0bd9a1c1e0f,,norwich,ct,Personal Care Services,"Hair, Nail, and Skin Care Services"
59f3cdf77e4149278848c98124d3ee7c,,andover,CT,Restaurants and Other Eating Places,Full-Service Restaurants
c50a5b58baaf4bc087d85ab428915ac2,,groton,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
d7c21b20239149179f487e20d41824eb,,colchester,CT,Automotive Repair and Maintenance,Car Washes
e126863fa8fc465f9954c9b0bc54eb4b,,groton,CT,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions
957a204113074fabb05496eff8e9dd1b,,trumbull,CT,Gasoline Stations,Gasoline Stations with Convenience Stores
2bfa709b858b4f97b0dfa405017419e4,,storrs mansfield,CT,Restaurants and Other Eating Places,Full-Service Restaurants
