poi_idx,other_safegraph_place_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
22,002e3422d37e49a799e512d3248a33f7,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
23,002f5505a947301abf31d34d560ae3a3,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
24,002f9163107d4127ae86881d075e08b1,0.022676589,-0.5905105,-0.4874308,0.42969003,0.031885173,-0.074454285,-0.5841279,0.12410415,0.3772416,-0.34248185,0.49032983,0.14741698,0.21255943,-0.22198114,0.00043486804,-0.074046835,0.071522176,-0.35171756,-0.18035278,-0.026646532,0.7480528,0.8174,0.18400416,-0.4772002,-0.15594925,0.17306778,0.7342591,-0.30603746,-0.7893731,0.09344613,0.03612626,0.21402352
25,00302223c708462eaba9820cae3d3176,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
26,0031c3a11f003fc394429016ab7016ce,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
27,003353b7da9343fcaedbd2640fed9a3a,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
28,0034d4dc0de340e282cb217c3fb39bfa,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
29,0036543139ff47b3acb5742e3b186f17,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
30,0038a046c54d3f689c49a888e9cc5252,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
31,0039122a68dd40a2b6be4069733207f8,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
32,0039767217d54876a577665d4f118c46,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
33,003e5efdac573a3488c5d63741f72a11,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
34,0040b7ea18944de08e885dd013bc09b7,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
35,00416b164d4b4cfe8e3f7866c21bbc51,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
36,0042cf93a48830e99dcfe50eb25cc71e,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
37,0044325bc73443cb9186063426158c53,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
38,0044d378201d31308020105345a3e178,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
39,00452da6840c4c0b8645f565606eca88,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
40,0047af90e76336d999972aa9c4a77196,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
41,0048e046e2c03464a2e6d17c6435a803,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
42,004b8ac1c684374895db7df6d2d2031a,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
43,004c548d0c0f38ce9cd5997217127756,-0.017215787,0.008412121,-0.04445529,0.008159982,0.032053817,-0.024081629,0.03794792,-0.03472855,-0.103716195,-0.20246208,0.046692044,-0.040842198,-0.06646707,-0.07468994,-0.045456856,-0.106510274,-0.056376442,-0.038608216,-0.042140312,-0.003689035,-0.04336895,-0.12159178,-0.07664605,-0.06930853,0.024442455,-0.04603173,-0.025556654,-0.022359796,-0.0004110751,-0.047208957,0.04479757,-0.035569508
